ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher
0345441753,Criminal Intent,WILLIAM BERNHARDT,2003,Fawcett
0028621239,The Complete Idiot's Guide to Knitting & Crocheting,Gail Diven,1999,Alpha Books
055326396X,Arctic Dreams: Imagination and Desire in a Northern Landscape,Barry Lopez,1993,Bantam Books
0440234824,The Sibyl in Her Grave,Sarah Caudwell,2001,Dell Publishing Company
0373835426,Witchcraft,Jayne Ann Krentz,2003,Harlequin
0380804670,The Silent Service: Los Angeles Class,H. Jay Riker,2001,Avon
8807810360,Una Donna,Aleramo,0,Feltrinelli
8466302263,El Ultimo Judio (Punto de Lectura),Noah Gordon,2003,Punto de Lectura
0812504364,A Connecticut Yankee in King Arthur's Court,Mark Twain,1997,Tor Books
9500703203,El Amor En Los Tiempos Del Colera / Love in the Times of Cholera,Gabriel Garcia Marquez,1987,Sudamericana
9679787834,Vermillion eye: A chiller of a thriller that will shock you to the bone,Halim,2000,Pelanduk Publications
0451195507,Judging Time (April Woo Suspense Novels (Paperback)),Leslie Glass,1999,Signet Book
3404920910,Im Wald der gehenkten FÃ?ÃÂ¼chse.,Arto Paasilinna,2001,LÃ?ÃÂ¼bbe
0394712447,The Method of Zen,EUGEN HERRIGEL,1974,Vintage
0671722727,King Lear,William Shakespeare,1993,Washington Square Press
3502517959,Die Spinne und das MÃ?ÃÂ¤dchen.,Sophie Schallingher,2001,Scherz
0812530489,Time Wars,Poul Anderson,1986,Tor Books
0375726624,Newjack: Guarding Sing Sing (Vintage),Ted Conover,2001,Vintage Books USA
1577487370,The Quilt of Life: A Patchwork of Devotional Thoughts (Inspirational Library (Paperback)),Mary Tatem,2000,Barbour Publishing
0753811464,Maya,Jostein Gaarder,0,Phoenix mass market p/bk
0590110225,The Mighty,Rodman Philbrick,1998,Scholastic
0836228790,The Dilbert Bunch: A Dilbert Book (Main Street Editions),Scott Adams,1997,Andrews McMeel Publishing
0836221966,You Don't Need Experience if You've Got Attitude,Scott Adams,1996,Andrews McMeel Publishing
0312860951,Reliquary,Douglas Preston,1997,St Martins Pr
0380717972,Halfway Home,Paul Monette,1992,Harpercollins
0226067114,"Christianity, Social Tolerance, and Homosexuality: Gay People in Western Europe from the Beginning of the Christian Era to the Fourteenth Century",John Boswell,1981,University of Chicago Press
1561707236,Soul's Perfection (Journey of the Soul),Sylvia Browne,2000,Hay House
0062500287,The Flight of the Seventh Moon: The Teaching of the Shields,Lynn Andrews,1985,HarperCollins Publishers
0889652066,Making Your Home a Haven: Strategies for the Domestically Challenged,Cyndy Salzmann,2001,Horizon
038072930X,Turbulent Souls: : A Catholic Son's Return To His Jewish Family,Stephen J. Dubner,1999,Perennial
0316754315,"The Morning After: Sex, Fear, and Feminism on Campus",Katie Roiphe,1993,Little Brown & Co
8817844330,Confucio nel computer: Memoria accidentale del futuro,Furio Colombo,1995,Nuova Eri Rizzoli
067170463X,Murder on the Orient Express,Agatha Christie,1978,Pocket Books
0373123086,The Blind - Date Bride  (The Australians),Emma Darcy,2003,Harlequin
0373123523,The Parisian Playboy   In Love With Her Boss,Helen Brooks,2003,Harlequin
0739307312,The Da Vinci Code,DAN BROWN,2003,Random House Audio
8420483885,El club Dumas (ediciÃÂ³n en espaÃÂ±ol),Arturo Perez-Reverte,1999,"Alfaguara Ediciones, S.A. (Spain)"
8484509125,El Ultimo Adios,Mary Higgins Clark,2002,Distribooks
0553291025,If I Should Die,Judith Kelman,1993,Bantam Books
0061054267,Ancient Shores,Jack McDevitt,1996,Eos
0380898179,So Worthy My Love,Kathleen E. Woodiwiss,1989,Harpercollins
0345314247,Blue Adept (Apprentice Adept (Paperback)),Piers Anthony,1982,Ballantine Books
0743458036,The Royal Physician's Visit: A Novel,Per Olov Enquist,2002,Washington Square Press
0671010115,"GONE FISHIN : Featuring an Original Easy Rawlins Short Story \Smoke\"" (Easy Rawlins Mysteries (Paperback))""",Walter Mosley,1998,Pocket
0486270718,The Invisible Man (Dover Thrift Editions),H. G. Wells,1992,Dover Publications
0345260627,Splinter of the Mind's Eye,Alan Dean Foster,1978,Ballantine Books
1551669463,The Italian,Elaine Coffman,2002,Mira
0843951346,Seduced by a Rogue,Connie Mason,2003,Leisure Books
1551666855,The Love Knot,Rebecca Brandewyne,2003,Mira
0451208412,Racing Moon,Cassie Edwards,2003,Signet Book
0843952059,The Very Virile Viking,Sandra Hill,2003,Leisure Books
0553583565,Stealing Heaven,Madeline Hunter,2002,Bantam Books
0804119953,The Ways of Grace,Linda Francis Lee,2002,Ivy Books
0843950803,Reckless Embrace (Leisure Historical Romance),Madeline Baker,2002,Leisure Books
0060001445,"Her Highness, My Wife",Victoria Alexander,2002,Avon
0440236401,The Temptress (The Bride Quest),Claire Delacroix,2001,Dell Publishing Company
0804110867,Other People's Skeletons (Rebecca Schwartz Mysteries),Julie Smith,1994,Ivy Books
0743456823,The Lives of Dax (Star Trek: Deep Space Nine),Marco Palmieri,2002,Star Trek
325723273X,Richtig leben mit Geri Weibel.,Martin Suter,2001,Diogenes Verlag
1568650418,The Elric Saga PT. II,Michael Moorcock,1984,Doubleday Books
0394757653,The Simple Art of Murder (Vintage Crime),RAYMOND CHANDLER,1988,Vintage
0156005778,Mister Sandman (Harvest Book),Barbara Gowdy,1998,Harvest Books
0375727434,"Hateship, Friendship, Courtship, Loveship, Marriage : Stories",Alice Munro,2002,Vintage
1401068049,Revelation and the Fall of Judea,Maurice A. Williams,2002,Xlibris Corporation
0425189082,The Etruscan Chimera (Archaeological Mystery),Lyn Hamilton,2003,Berkley Publishing Group
0671002384,Ancient Blood:  Day of Honor #1 (Star Trek The Next Generation),Diane Carey,1997,Star Trek
0553240307,Sudden Death,Rita Mae Brown,1984,Bantam Doubleday Dell
0425143341,Curfew,Phil Rickman,1994,Berkley Publishing Group
0812589831,People of the Owl (First North Americans),Kathleen O'Neal Gear,2004,Forge Books
0020519109,The Old Man and the Sea (A Scribner Classic),Ernest Hemingway,1987,Collier Books
0451525078,Don Quixote of LA Mancha,Miguel de Cervantes Saavedra,1990,Signet Classics
1878067745,Solo: On Her Own Adventure,Susan Fox Rogers,1996,Seal Press (WA)
0689823517,The Dance,Richard Paul Evans,1999,Simon & Schuster Children's Publishing
0345302745,Speaker of Mandarin,Ruth Rendell,1990,Fawcett Books
0451450876,Shadowrun: Choose Your Enemies Carefully (Shadowrun (Roc)),Robert N. Charrette,1996,Roc
0743417720,The Third Witch: A Novel,Rebecca Reisert,2002,Washington Square Press
1857027795,Diving Bell and the Butterfly,Jean Dominiqu Bauby,0,Fourth Estate Ltd
0967224918,B-More Careful,Shannon Holmes,2001,Teri Woods Publishing
3492215416,Champagner und Kamillentee.,Franziska Stalmann,1992,Piper
0425175006,The Body on the Beach: A Fethering Mystery (Fethering Mysteries (Hardcover)),Simon Brett,2000,Prime Crime
0553378260,Rita Will: Memoir of a Literary Rabble-Rouser,Rita Mae Brown,1999,Bantam
0500280673,Celtic Borders,Aidan Meehan,1999,Thames & Hudson
3257204833,Kleine Mordgeschichten fÃ?ÃÂ¼r Tierfreunde.,Patricia Highsmith,1979,Diogenes Verlag
0385721617,Juno & Juliet: A Novel,Julian Gough,2002,Anchor Books/Doubleday
0451150635,Different Seasons M/TV,Stephen King,1986,Signet Book
3492225926,Das WÃ?ÃÂ¼ten der ganzen Welt.,Maarten 't Hart,1999,Piper
0684836483,250 Things You Can Do to Make Your Cat Adore You,Ingrid Newkirk,1998,Fireside
0440235758,Going Overboard,Christina Skye,2001,Island
8807014467,La Compagnia,Benni,1993,Feltrinelli
0590129988,Clockwork : Or All Wound Up,Philip Pullman,1998,Scholastic
0451518845,Jane Eyre,Charlotte Bronte,1999,New Amer Library Classics
0345395190,"Orion Arm: The Rampart Worlds: Book 2 (May, Julian. Rampart Worlds, Bk. 2.)",Julian May,2000,Del Rey Books
0440911710,Camilla (Laurel Leaf Books),MADELEINE L'ENGLE,1982,Laure Leaf
0156007568,The Years with Laura Diaz,Carlos Fuentes,2001,Harvest Books
0590997262,The Stranger (Animorphs (Paperback Numbered)),Katherine Applegate,1997,Scholastic
0590213040,The Andalite's Gift (Animorphs : Megamorphs 1),K. A. Applegate,1997,Scholastic
1562470043,"Meet Felicity: An American Girl : 1774 (The American Girls Collection, Book 1)",Valerie Tripp,1991,Pleasant Company Publications
1562475150,"Meet Josefina, an American Girl (American Girls Collection (Paper))",Valerie Tripp,1997,Pleasant Company Publications
8806134817,Quel Che Resta Del Giorno,Kazuo Ishiguro,1998,Einaudi
0140380361,The Root Cellar,Janet Louise Swoboda Lunn,1996,Puffin Books
1573222623,Drinking Coffee Elsewhere (Today Show Book Club #11),ZZ Packer,2003,Riverhead Books
1890159018,The Ethical Slut: A Guide to Infinite Sexual Possibilities,Dossie Easton,1998,Greenery Press (CA)
1561703249,"The Western Guide to Feng Shui: Creating Balance, Harmony, and Prosperity in Your Environment (Feng Shui)",Terah Kathryn Collins,1996,Hay House
0553213539,The Invisible Man (Bantam Classic),H.G. WELLS,1983,Bantam Classics
0375704906,Some Lie and Some Die (Vintage Crime/Black Lizard),Ruth Rendell,1999,Vintage Books USA
9722110195,Era bom que trocÃÂ¡ssemos umas ideias sobre o assunto: Romance (O campo da palavra),MÃÂ¡rio de Carvalho,1995,Caminho
0393308839,Flash Fiction: Very Short Stories,James Thomas,1992,W. W. Norton & Company
0451524039,Diary of a Madman,Nikolai Vasilevich Gogol,1994,Signet Classics
8475966519,L'abominable crim de l'Alsina Graells (Narrativa),Pep Coll,1999,Editorial EmpÃÂºries
0743200349,The Third Miracle : A Novel,Richard Vetere,2000,Touchstone
0553067966,"The Simple Living Guide: A Sourcebook for Less Stressful, More Joyful Living",Janet Luhrs,1997,Broadway Books
0349100136,"If this is a man ; and, The truce",Primo Levi,1987,Abacus
0486415910,A Connecticut Yankee in King Arthur's Court (Dover Thrift Editions),Mark Twain,2001,Dover Publications
0451138481,Life Penalty,Joy Fielding,1994,Signet Book
0525946241,Picture Maker,Penina Keen Spinka,2002,Dutton Books
2070756319,Le Dictateur et le hamac,Daniel Pennac,2003,Gallimard
0553263579,The Autobiography of Miss Jane Pittman,ERNEST J. GAINES,1982,Bantam
0441007015,"The Seven Songs of Merlin (Lost Years of Merlin, Bk. 2)",T. A. Barron,2000,Ace Books
0394717406,Out of Africa,Isak Dinesen,1972,Random House Inc
1583940634,The Diary of a Teenage Girl: An Account in Words and Pictures,Phoebe Gloeckner,2002,Frog Ltd.
0425192695,Girls of the Summer,Barbara Bretton,2003,Berkley Publishing Group
0440241286,Gun Monkeys,VICTOR GISCHLER,2003,Dell
0553208799,Chancellor Manuscript,Robert Ludlum,1981,Bantam Books
0446512923,Lord of the Dance (The Passover Trilogy),Andrew M. Greeley,1984,Warner Books
0671531409,Midsummer Nights Dream,William Shakespeare,1984,Pocket Books
0345309014,Second Foundation (Foundation Novels (Paperback)),Isaac Asimov,1983,Ballantine Books
0671888021,"Lame Deer, Seeker of Visions",Richard Erdoes,1994,Pocket
0142002054,Diamonds Are Forever: A James Bond Novel,Ian Fleming,2002,Penguin Books
0553142046,Dragonsong,Anne Mccaffrey,0,Bantam Doubleday Dell
0786889527,Night Gardening,E. L. Swann,2000,Hyperion
0679402470,Millroy the Magician,Paul Theroux,1994,Random House Inc
067166607X,Bambi (Bambi),Felix Salten,1988,Aladdin
3442353793,Des Teufels Kardinal.,Allan Folsom,2000,Goldmann
0380803151,Avalanche Soldier,Susan R. Matthews,1999,Eos (HarperCollins)
0451205294,Fatal Care,Leonard Goldberg,2001,Signet Book
0375503218,My Cat Spit McGee,Willie Morris,1999,Random House Inc
056353723X,Down to Earth: The Year of the Cornflake (Down to Earth),Faith Addis,2000,BBC Consumer Publishing
0812504755,The Legend of Sleepy Hollow,Washington Irving,1990,Tor Books
0836217616,The Child Within Has Been Awakened : A Cathy Collection But the Old Lady on the Outside Just Collapsed (A Cathy Collection),Cathy Guisewite,1994,Andrews McMeel Publishing
0886777828,"The Dreaming Tree: The Dreamstone, the Tree of Swords and Jewels",C. J. Cherryh,1997,Daw Books
059045899X,Amber Brown Is Not a Crayon (Amber Brown (Paperback)),Paula Danziger,1995,Jump at the Sun
0758201605,"Last Writes (Levine, Laura, Jaine Austen Mystery.)",Laura Levine,2003,Kensington Publishing Corporation
044022831X,Love and Other Four-Letter Words (Laurel-Leaf Books),Carolyn Mackler,2002,Laurel Leaf
0060954884,Anna and the King of Siam,Margaret Landon,1999,Perennial
0312272766,Plan B,Jonathan Tropper,2001,St. Martin's Griffin
0842343253,Nicolae High (Left Behind: The Kids #5),Jerry B. Jenkins,1999,Tyndale House Publishers
0553574302,The Chalice and the Blade,Glenna McReynolds,1998,Bantam Books
0440225892,"The Heiress (Bride Quest Series, 3)",Claire Delacroix,1999,Dell Publishing Company
0694014532,Heidi Book and Charm (Charming Classics),Johanna Spyri,2000,HarperFestival
0449131793,Barrier Island,John D. MacDonald,1991,Fawcett Books
038548562X,How to Choose the Sex of Your Baby: The Method Best Supported by Scientific Evidence,"Landrum B., Md Shettles",1997,Main Street Books
1891620487,American Greats,Robert A. Wilson,1999,PublicAffairs
0380820870,Shadows of Glory,Owen Parry,2001,HarperTorch
0066211085,Rebecca's Tale,Sally Beauman,2001,William Morrow & Company
042517476X,Group: Six People in Search of a Life,Paul Solotaroff,2000,Berkley Publishing Group
0393960579,The Awakening: An Authoritative Text Biographical and Historical Contexts Criticism (A Norton Critical Edition),Kate Chopin,1994,W. W. Norton & Company
0553206516,Snow Leopard,Peter Matthiessen,1979,Bantam Books
0486282694,"Winesburg, Ohio (Dover Thrift Editions)",Sherwood Anderson,1995,Dover Publications
0140291903,Manhattan Memoir,Mary Cantwell,2000,Penguin Books
0590443518,Help! I'm a Prisoner in the Library,Eth Clifford,1991,Scholastic
0842343288,Death Strike (Left Behind the Kids),Jerry Jenkins,2000,Tyndale House Publishers
1565120310,Daughters of Memory,Janis Arnold,1993,Algonquin Books of Chapel Hill
0446690295,The Bondwoman's Narrative,Hannah Crafts,2003,Warner Books
0307157857,Cars and Trucks and Things That Go,RICHARD SCARRY,1998,Golden Books
0553092626,Playing for the Ashes,Elizabeth George,1994,Bantam Dell Pub Group
3257229739,Tsugumi.,Banana Yoshimoto,1997,Diogenes Verlag
0684856476,The Rum Diary : A Novel,Hunter S. Thompson,1999,Simon & Schuster
2742739351,Les Soldats de Salamine,Javier Cercas,2002,Actes Sud
8479018682,Cuentos Para Pensar / Stories To Think About,Jorge Bucay,1997,Alfaguara/Santillana USA
0743410246,"Lesser Evil (Star Trek Deep Space Nine: Mission Gamma, Book 4)",Robert Simpson,2002,Star Trek
0743445643,"Cathedral (Star Trek Deep Space Nine: Mission Gamma, Book 3)",Michael A. Martin,2002,Star Trek
0743445627,"This Gray Spirit (Star Trek Deep Space Nine: Mission Gamma, Book 2)",Heather Jarman,2002,Star Trek
0671026364,Resurrecting Ravana  (Buffy the Vampire Slayer),Ray Garton,2000,Simon Spotlight Entertainment
3453149874,Das Dilbert-Prinzip.,Scott Adams,1998,Heyne
0312980345,Second Thyme Around,Katie Fforde,2002,St. Martin's Paperbacks
0571097103,Whitsun Weddings,Philip Larkin,1964,Faber & Faber
0441006329,The Color of Distance,Amy Thomson,1999,Ace Books
0886775744,The Book of Earth (Dragon Quartet),Marjorie B. Kellogg,1995,Daw Books
042518627X,Mister Posterior and the Genius Child,Emily Jenkins,2002,Berkley Publishing Group
1551667533,Recipes For Easy Living,Curtiss Ann Matlock,2003,Mira
0553581430,Last Puzzle & Testament (Puzzle Lady Mysteries (Paperback)),Parnell Hall,2001,Bantam Books
1551662906,Home To Eden,Dallas Schulze,1997,Mira
0425196453,The Marriage Test,Betina Krahn,2004,Berkley Publishing Group
0140254749,Medicine River,Thomas King,1991,Penguin Books
0385497091,Thumbsucker,Walter Kirn,1999,Anchor Books/Doubleday
0071352430,Net Slaves: True Tales of Working the Web,Bill Lessard,1999,McGraw-Hill Trade
0375421726,Nigger - The Strange Career of a Troublesome Word,Randall Kennedy,2002,Pantheon Books
2070368378,Eloge de la fessÃ?ÃÂ©e,Jacques Serguine,1976,Gallimard
0965881199,The Diaries of Adam and Eve,Mark Twain,1998,Fair Oaks Press
0393038025,Rl's Dream: A Novel,Walter Mosley,1995,W. W. Norton & Company
0451525426,Arabian Nights: The Marvels and Wonders of the Thousand and One Nights,Jack Zipes,1991,Signet Classics
055357342X,"A Storm of Swords (A Song of Ice and Fire, Book 3)",GEORGE R.R. MARTIN,2003,Spectra
0440211158,Skin,Kathe Koja,1994,Dell Publishing Company
0140262776,Criminals,Margot Livesey,1997,Penguin Books
0385317042,My Sister's Bones,CATHI HANAUER,1997,Dell
0451184149,My Soul to Keep,Judith Hawkes,1997,Signet Book
